"titles","abstracts"
"Use of sequence analysis for classifying individual antidepressant trajectories to monitor population mental health.","This paper reports research exploring how trends in local labour market conditions during the period 2007-2011 (early stages of the 'great recession') relate to reported mental illness for individuals. It contributes to research on spatio-temporal variation in the wider determinants of health, exploring how the lifecourse of places relates to socio-geographical inequalities in health outcomes for individuals. This study also contributes to the renewed research focus on the links between labour market trends and population health, prompted by the recent global economic recession. We report research using the Scottish Longitudinal Study (SLS), a 5.3% representative sample of the Scottish population, derived from census data (https://sls.lscs.ac.uk/). In Scotland, (2011) census data include self-reported mental health. SLS data were combined with non-disclosive information from other sources, including spatio-temporal trends in labour market conditions (calculated using trajectory modelling) in the 32 local authority areas in Scotland. We show that, for groups of local authorities in Scotland over the period 2007-2011, trends in employment varied. These geographically variable trends in employment rates were associated with inequalities in self-reported mental health across the country, after controlling for a number of other individual and neighbourhood risk factors. For residents of regions that had experienced relatively high and stable levels of employment the odds ratio for reporting a mental illness was significantly lower than for the 'reference group', living in areas with persistently low employment rates. In areas where employment declined markedly from higher levels, the odds ratio was similar to the reference group. The findings emphasise how changes in local economic conditions may influence people's health and wellbeing independently of their own employment status. We conclude that, during the recent recession, the economic life course of places across Scotland has been associated with individual mental health outcomes."
"Changing levels of local crime and mental health: a natural experiment using self-reported and service use data in Scotland.","Many infectious diseases of public health importance display annual seasonal patterns in their incidence. We aimed to systematically document the seasonality of several human infectious disease pathogens in England and Wales, highlighting those organisms that appear weather-sensitive and therefore may be influenced by climate change in the future."
"Neighborhood Crime and Psychotropic Medications: A Longitudinal Data Linkage Study of 130,000 Scottish Adults.","Data on infections in England and Wales from 1989 to 2014 were extracted from the Public Health England (PHE) SGSS surveillance database. We conducted a weekly, monthly and quarterly time series analysis of 277 pathogen serotypes. Each organism's time series was forecasted using the TBATS package in R, with seasonality detected using model fit statistics. Meteorological data hosted on the MEDMI Platform were extracted at a monthly resolution for 2001-2011. The organisms were then clustered by K-means into two groups based on cross correlation coefficients with the weather variables."
"Exposure to Solar UV During Outdoor Construction Work in Britain.","Examination of 12.9 million infection episodes found seasonal components in 91/277 (33%) organism serotypes. Salmonella showed seasonal and non-seasonal serotypes. These results were visualised in an online Rshiny application. Seasonal organisms were then clustered into two groups based on their correlations with weather. Group 1 had positive correlations with temperature (max, mean and min), sunshine and vapour pressure and inverse correlations with mean wind speed, relative humidity, ground frost and air frost. Group 2 had the opposite but also slight positive correlations with rainfall (mm, &gt; 1 mm, &gt; 10 mm)."
"UVA and Seasonal Patterning of 56 370 Myocardial Infarctions Across Scotland, 2000-2011.","The detection of seasonality in pathogen time series data and the identification of relevant weather predictors can improve forecasting and public health planning. Big data analytics and online visualisation allow the relationship between pathogen incidence and weather patterns to be clarified."
"Recession, local employment trends and change in self-reported health of individuals: A longitudinal study in England and Wales during the 'great recession'.","The major circulating metabolite of vitamin D (25(OH)D) has been implicated in the pathogenesis for atopic dermatitis, asthma and other allergic diseases due to downstream immunomodulatory effects. However, a consistent association between 25(OH)D and asthma during adulthood has yet to be found in observational studies. We aimed to test the association between 25(OH)D and asthma during adulthood and hypothesised that this association would be stronger in non-atopic participants. Using information collected on the participants of the 1958 birth cohort, we developed a novel measure of atopic status using total and specific IgE values and reported history of eczema and allergic rhinitis. We designed a nested case-control analysis, stratified by atopic status, and using logistic regression models investigated the association between 25(OH)D measured at age 46 years with the prevalence of asthma and wheezy bronchitis at age 50 years, excluding participants who reported ever having asthma or wheezy bronchitis before the age of 42. In the fully adjusted models, a 10 nmol/L increase in serum 25(OH)D prevalence had a significant association with asthma (aOR 0.94; 95% CI 0.88⁻1.00). There was some evidence of an atopic dependent trend in the association between 25(OH)D levels and asthma. Further analytical work on the operationalisation of atopy status would prove useful to uncover whether there is a role for 25(OH)D and other risk factors for asthma."
"Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children.","Exposure to sunlight can have both positive and negative health impacts. Excessive exposure to ultra-violet (UV) radiation from the sun can cause skin cancer, however insufficient exposure to sunlight has a detrimental effect on production of Vitamin D. In the construction industry there are onsite proactive behaviours for safety, but sun-safety remains a low priority. There is limited research on understanding the barriers to adopting sun-safe behaviours and the association this may have with Vitamin D production. This paper reports a protocol for an intervention study, using text messaging in combination with a supportive smartphone App. The intervention aims to both reduce UV exposure during months with higher UV levels and promote appropriate dietary changes to boost Vitamin D levels during months with low UV levels."
"Association Between the Activity Space Exposure to Parks in Childhood and Adolescence and Cognitive Aging in Later Life.","Approximately 60 construction workers will be recruited across the United Kingdom. A randomised control crossover trial (RCCT) will be used to test the intervention, with randomisation at site level - i.e. participants will receive both the control (no text messages or supportive App support) and intervention (daily text messages and supportive App). Using the Theory of Planned Behaviour (TPB) the intervention focuses on supporting sun-safety and healthy dietary decisions in relation to Vitamin D intake. The intervention emphasises cultivating the perception of normative support in the workplace, increasing awareness of control and self-efficacy in taking sun-protective behaviours, making healthier eating choices to boost Vitamin D, and tackling stigmas attached to image and group norms. Each study epoch will last 21 days with intervention text messages delivered on workdays only. The supportive App will provide supplementary information about sun protective behaviours and healthy dietary choices. The primary outcome measure is 25-hydroxy-Vitamin D [25(OH)D] level (obtained using blood spot sampling), which will be taken pre and post control and intervention periods. Secondary outcome measures are two-fold, (1) using the TPB to detect changes in behaviour, and (2) quantifying UV exposure during the UK peak radiation season (April-September) using body-mounted UV sensors."
"How has the introduction of point-of-sale legislation affected the presence and visibility of tobacco retailing in Scotland? A longitudinal study.","This study will provide important information about the effectiveness of a technology-based intervention to promote sun-safety and healthy behaviours in outdoor construction workers."
"Changing labour market conditions during the 'great recession' and mental health in Scotland 2007-2011: an example using the Scottish Longitudinal Study and data for local areas in Scotland.","ISRCTN15888934 retrospectively registered 15.01.2018."
"Pathogen seasonality and links with weather in England and Wales: a big data time series analysis.","International evidence suggests that green space has beneficial effects on general and mental health but little is known about how lifetime exposure to green space influences cognitive ageing. Employing a novel longitudinal life course approach, we examined the association between lifetime availability of public parks and cognitive ageing. Lifetime residential information was gathered from the participants of the Lothian Birth Cohort 1936 using a ""life-grid"" questionnaire at age 78 years. Parks information from 1949, 1969 and 2009 was used to determine a percentage of parks within a 1500 m buffer zone surrounding residence for childhood, adulthood, and later adulthood periods. Linear regressions were undertaken to test for association with age-standardised, residualised change in cognitive function (Moray House Test score) from age 11 to 70 years, and from age 70 to 76 (n = 281). The most appropriate model was selected using the results of a partial F-test, and then stratified by demographic, genetic and socioeconomic factors. The local provision of park space in childhood and adulthood were both important in explaining the change in cognitive function in later life. The association between childhood and adulthood park availability and change in the Moray House Test Score from age 70 to 76 was strongest for women, those without an APOE e4 allele (a genetic risk factor), and those in the lowest socioeconomic groups. Greater neighbourhood provision of public parks from childhood through to adulthood may help to slow down the rate of cognitive decline in later life, recognising that such environmental associations are always sensitive to individual characteristics."
"Association between Serum 25-Hydroxy Vitamin D Levels and the Prevalence of Adult-Onset Asthma.","There is increasing policy interest in the potential for vegetation in urban areas to mitigate harmful effects of air pollution on respiratory health. We aimed to quantify relationships between tree and green space density and asthma-related hospitalisations, and explore how these varied with exposure to background air pollution concentrations."
"A randomised control crossover trial of a theory based intervention to improve sun-safe and healthy behaviours in construction workers: study protocol.","Population standardised asthma hospitalisation rates (1997-2012) for 26,455 urban residential areas of England were merged with area-level data on vegetation and background air pollutant concentrations. We fitted negative binomial regression models using maximum likelihood estimation to obtain estimates of asthma-vegetation relationships at different levels of pollutant exposure."
"Green space and cognitive ageing: A retrospective life course analysis in the Lothian Birth Cohort 1936.","Green space and gardens were associated with reductions in asthma hospitalisation when pollutant exposures were lower but had no significant association when pollutant exposures were higher. In contrast, tree density was associated with reduced asthma hospitalisation when pollutant exposures were higher but had no significant association when pollutant exposures were lower."
"Land cover and air pollution are associated with asthma hospitalisations: A cross-sectional study.","We found differential effects of natural environments at high and low background pollutant concentrations. These findings can provide evidence for urban planning decisions which aim to leverage health co-benefits from environmental improvements."
